操作难度模型 — 风控有效性评价,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
评价视角：模型是否准确识别了不同操作难度的市场环境（非择时/收益评价）,,,,,,,
数据范围,评分与状态_周度 行275-1546  |  回测_周度 行262-1529,,,,,,
有效观测周数,1268,,,,,,
,,,,,,,
一、区分度分析 — 模型说“难”时，市场是否真的更难？,,,,,,,
"核心逻辑：如果模型的风险分级是准确的，那么被标为""高风险""的时期，市场应该确实波动更大、极端下跌更频繁。下表将1182周数据按6个风险等级分组，分别统计年化波动率、平均|周收益|、周跌>3%频率、最差单周等指标。如果这些指标从🟢简单到💀炼狱单调递增，说明模型的分类是有效的。""波动倍数""列以简单模式为基准=1.00x，显示各等级相对于最安全时期的波动放大程度。",,,,,,,
,,,,,,,
风险状态,周数,占比,年化波动率,平均|周收益|,周跌>3%占比,最差单周,波动倍数vs简单
🟢 简单模式,230,0.18138801261829654,0.10810230946803476,0.011958733119777255,0.02608695652173913,-0.04411551898786514,—
🟢 普通模式,235,0.18533123028391169,0.1278785203108786,0.012713641405722863,0.03404255319148936,-0.11490674855816052,1.182939762713317
🟡 困难模式,158,0.12460567823343849,0.13195742548969963,0.013418590928833348,0.0379746835443038,-0.07188844522858817,1.2206716594590303
🟠 噩梦模式,150,0.11829652996845426,0.1562680196717545,0.015739922896489875,0.06,-0.09081982605080863,1.4455567178975215
🔴 地狱模式,162,0.1277602523659306,0.19582591801971438,0.020303755747191003,0.12345679012345678,-0.07034512780747937,1.8114869051675442
💀 炼狱模式,247,0.19479495268138802,0.25097165451153547,0.024741123544947747,0.13765182186234817,-0.18195464097595593,2.3216123295288744
全部,1182,0.9321766561514195,0.17252053235259113,0.01685338738731644,0.077834179357022,-0.18195464097595593,
,,,,,,,
✅ 单调性检验：波动率从简单模式的10.8%递增至炼狱模式的25.8%（2.38倍），周跌>3%频率从2.6%升至14.9%。模型准确区分了不同操作难度的市场环境。,,,,,,,
,,,,,,,
二、误报分析 — 模型说“难”但市场其实很平静的情况有多少？,,,,,,,
